Год,Номер недели,Денситометр,КТ,КТ с КУ 1 зона,КТ с КУ 2 и более зон,ММГ,МРТ,МРТ с КУ 1 зона,МРТ с КУ 2 и более зон,РГ,Флюорограф
2021,52,,5895,,,22,8,,,2459,
2022,1,17,6146,43,100,483,415,169,2,12450,392
2022,2,1026,10868,424,451,9567,2156,669,9,48904,22626
2022,3,910,12266,430,490,8791,2162,710,14,47364,20496
2022,4,679,12793,336,471,7465,2066,667,7,40234,15227
2022,5,571,13235,302,446,6124,1900,609,6,36502,12586
2022,6,698,11396,312,506,6623,1952,643,5,38752,14693
2022,7,637,8443,295,514,7775,2135,688,7,41694,18370
2022,8,556,5849,265,541,7706,2023,683,3,37030,19250
2022,9,1050,5851,476,669,11323,2318,852,7,51042,29023
2022,10,691,4536,295,431,7352,1602,619,5,34205,17540
2022,11,1209,5901,515,715,11553,2272,853,11,49459,29958
2022,12,1248,6015,560,767,12460,2382,935,7,50318,30728
2022,13,1418,5258,524,774,11992,2417,985,8,50840,29045
2022,14,1370,5186,524,767,12212,2411,948,12,50735,30613
2022,15,1436,4631,532,793,13190,2423,943,7,51049,31419
2022,16,1314,4899,611,733,12332,2384,924,5,52467,29474
2022,17,1172,4487,596,700,12401,2094,885,10,50926,28535
2022,18,933,3092,339,437,7741,1626,612,3,35032,16620
2022,19,990,3297,368,441,7712,1829,577,6,36898,19404
2022,20,1203,4455,606,590,12564,2549,800,11,49762,28694
2022,21,1176,4923,599,674,13005,2401,897,6,49537,28203
2022,22,1154,4716,624,659,13916,2398,885,10,51298,27523
2022,23,1112,4525,645,724,13853,2135,909,10,50765,26626
2022,24,1013,3874,575,629,11514,2020,792,7,43269,21108
2022,25,1127,4694,665,738,12867,2167,905,8,49610,25082
2022,26,963,4457,641,600,12016,2124,825,4,47244,22016
2022,27,1034,4395,558,651,12108,2163,806,9,45602,18322
2022,28,1026,4389,559,559,11644,2089,790,14,44692,18737
2022,29,1050,3877,443,524,11238,1853,621,9,42179,17634
2022,30,975,3875,441,463,11297,1621,664,6,41797,17384
2022,31,934,3839,470,505,11895,1762,660,13,43325,18357
2022,32,899,3982,477,481,12250,1754,679,7,44939,19284
2022,33,951,3847,475,491,12297,1728,706,7,45428,19123
2022,34,1059,4136,480,476,12199,1820,718,8,46641,20380
2022,35,896,4131,444,456,12446,1798,786,7,46749,19369
2022,36,974,4499,413,506,12262,1824,740,4,46779,18481
2022,37,1020,4671,478,477,12730,1913,738,3,48811,18390
2022,38,1219,4452,503,499,13203,1942,678,5,50648,20770
2022,39,1020,4329,490,538,12206,1864,697,8,51754,19534
2022,40,1230,4527,539,553,13509,2071,753,4,56081,20013
2022,41,1055,4429,513,535,14145,2088,759,7,58698,20753
2022,42,1124,4708,513,603,14159,2242,781,7,56580,21207
2022,43,1199,4511,565,628,14690,2157,847,7,55710,21724
2022,44,936,4093,494,506,12315,1909,777,7,48445,19405
2022,45,1168,5091,651,607,15460,2152,836,8,59626,23857
2022,46,1367,5032,647,623,15317,2273,913,9,60199,25216
2022,47,1523,4819,586,502,14697,2113,866,9,59891,23220
2022,48,1428,5332,610,625,14350,2238,810,2,58591,21911
2022,49,1525,5058,612,631,14039,2127,866,4,60269,19742
2022,50,1419,4822,683,616,13059,2091,820,1,61993,18626
2022,51,1504,4494,633,515,12509,2076,875,6,59045,16901
2022,52,1302,4803,625,550,9937,1413,761,1,53848,13496
2023,1,266,887,94,59,858,486,139,,17919,573
2023,2,1479,5108,667,564,12088,1995,817,6,63320,18823
2023,3,1470,5006,702,582,13581,2113,885,6,64399,21029
2023,4,1552,5006,666,602,14749,2059,906,6,66823,22245
2023,5,1598,5006,658,590,14939,2049,928,4,66227,23780
2023,6,1783,5014,681,621,15458,2025,837,3,67630,24913
2023,7,1648,5021,731,578,16532,2090,937,9,67842,24979
2023,8,1119,3381,436,451,10792,1624,643,8,47139,13970
2023,9,1718,5377,649,660,17505,2036,926,7,70602,22797
2023,10,1316,4691,587,528,13880,1882,876,5,58905,19017
2023,11,1691,5481,719,704,18121,2134,985,4,71813,24511
2023,12,1701,5302,689,713,18530,2152,900,7,68710,23892
2023,13,1656,5344,738,748,19053,2023,796,4,68242,23794
2023,14,1828,5570,695,654,19276,1907,836,10,69610,25040
2023,15,1837,5163,672,601,18322,1918,802,5,67309,23869
2023,16,1801,5263,657,801,18971,2175,904,10,68812,24987
2023,17,1780,4898,640,785,18585,1987,929,6,66709,24086
2023,18,1545,4375,566,614,15762,1766,792,9,57542,19896
2023,19,1216,3812,435,489,13378,1650,590,15,51345,16073
2023,20,1726,4848,741,788,19710,2014,870,8,69385,22956
2023,21,1799,4989,757,755,19812,2121,878,7,67907,22752
2023,22,1801,4877,692,785,20064,2095,955,4,66736,21963
2023,23,1853,4786,712,801,19248,2000,940,12,66782,21128
2023,24,1671,4301,607,669,16114,2014,789,9,58669,17444
2023,25,1810,4737,733,914,18021,2221,939,6,64272,20509
